# number|title|why|concepts|experiment|failure|challenge|answer|questions|connection
3|Loss Functions and Optimization|Training needs a scalar objective and a reliable way to reduce it.|MSE, MAE, and cross-entropy;loss surfaces and local slope;analytical and finite-difference gradients;batch, stochastic, and mini-batch descent|Try learning rates 0.001, 0.15, 0.7, and 1.1 and graph parameter and loss trajectories.|A large learning rate oscillates or diverges while a tiny one looks stable but makes negligible progress.|Implement central finite differences for a two-parameter function and compare with its analytical gradient.|Use the centered difference for each parameter. Agreement improves as h shrinks until floating-point cancellation dominates.|Why must an ordinary gradient-based objective be differentiable?;What do gradient sign and magnitude mean?;When would MAE be preferable to MSE?|Every trained neural network still optimizes a scalar objective.
4|Probability and Statistics for ML|Models quantify patterns under uncertainty rather than deterministic truth.|random variables and distributions;expectation, variance, and sampling;conditional probability and Bayes rule;confidence intervals and calibration|Change sample size from 20 to 10000 and compare bootstrap interval width.|Small or biased samples can produce precise-looking but misleading estimates.|Simulate a rare-event diagnostic test and calculate how prevalence changes the posterior.|Apply Bayes rule. High sensitivity does not guarantee a high posterior when the prior event rate is very low.|Why is correlation not causation?;What does a 95 percent confidence interval mean?;Why does the base rate matter?|Generation, classification confidence, evaluation, and sampling all depend on probability.
5|Regression and Classification|Supervised learning maps labeled examples to numeric or categorical predictions.|linear and logistic regression;decision boundaries;precision, recall, F1, and ROC concepts;splits, leakage, and baselines|Move the classification threshold from 0.2 to 0.8 and chart precision and recall.|Accuracy hides failure on imbalanced data and leakage makes validation fiction.|Create an imbalanced dataset and choose a threshold for a stated business cost matrix.|Calculate expected false-positive and false-negative cost at each threshold and choose the lowest-cost operating point.|Why is a probability threshold a product decision?;What distinguishes a feature from a label?;When is accuracy unsafe?|Routing, moderation, fraud, and ranking frequently remain classical classification problems.
6|Neural Network Anatomy|Neural networks compose learned affine transformations with nonlinear functions.|neurons and dense layers;ReLU, sigmoid, and tanh;depth, width, and capacity;tensor-shape tracing|Replace ReLU with sigmoid and tanh and compare activation distributions.|Without nonlinear activations stacked linear layers collapse into one linear transformation.|Trace a batch of shape 32 by 10 through layers 10 to 64 to 16 to 3 including every weight and bias shape.|Outputs are 32 by 64, 32 by 16, and 32 by 3. Each weight maps input width to output width.|What does a neuron calculate?;Why do networks need nonlinearities?;What does model capacity mean?|Transformer projections and feed-forward blocks are learned neural layers.
7|Backpropagation From Scratch|Backpropagation efficiently applies the chain rule through a computational graph.|computational graphs;local derivatives;reverse-mode differentiation;gradient accumulation and zeroing|Build two paths into one value and verify their gradients add.|Incorrect graph order or forgotten gradient resets silently corrupt training.|Differentiate y equals the square of xw plus b manually and verify each leaf gradient with finite differences.|For p=xw+b and y=p squared, dy over dp is 2p. Multiply by each local derivative to reach x, w, and b.|Why traverse the graph backward?;Why do gradients accumulate?;What does stop-gradient do?|Autograd frameworks automate this graph traversal.
8|PyTorch and Autograd|PyTorch turns tensor programs into differentiable training systems and portable model artifacts.|tensors, devices, and dtypes;requires_grad and autograd;nn.Module and optimizers;train and eval modes plus checkpoints|Rebuild Lesson 01 in PyTorch and compare its learned parameters with NumPy.|Device or dtype mismatches fail loudly while forgotten train or eval mode can fail quietly.|Write the canonical zero_grad, forward, loss, backward, step loop and explain its order.|Gradients accumulate by default so clear them before the next backward pass and step only after gradients exist.|What does backward compute?;Why use model.eval?;What belongs in a state dictionary?|Most open-model research and training systems expose PyTorch-compatible weights and operations.
9|Train and Evaluate a Neural Network|A model matters only when performance survives unseen data and reproducible evaluation.|dataset and batch loading;training and validation loops;checkpoints and deterministic seeds;confusion matrices and error analysis|Train XOR with three seeds and compare convergence.|A single lucky seed or aggregate metric can conceal brittle behavior.|Add early stopping based only on validation loss and preserve the best checkpoint.|Track best validation loss and a patience counter. Never select using the test set.|Why separate validation and test data?;What makes training reproducible?;What should a checkpoint contain?|Fine-tuning and foundation-model evaluation use the same separation of optimization and measurement.
10|Regularization and Generalization|Generalization requires controlling capacity, data quality, and optimization rather than merely lowering training loss.|bias-variance tradeoff;L1 and L2 regularization;dropout and augmentation;normalization and early stopping|Fit high-degree polynomials with several L2 penalties and compare train and test error.|Excessive regularization underfits while inadequate regularization memorizes noise.|Design a learning-curve experiment that distinguishes data shortage from insufficient capacity.|Plot train and validation error versus sample count. A persistent gap suggests variance while both high suggests bias.|How does L2 affect weights?;Why is dropout disabled during inference?;What does a learning curve reveal?|Fine-tuning can overfit tiny instruction datasets just as ordinary models overfit.
11|Tokenization|Language models operate on token IDs so tokenization controls representation, cost, and context usage.|character, word, byte, and subword tokens;BPE-style merges;vocabulary-size tradeoffs;special tokens and unknown text|Train merges on two corpora and compare tokenization of technical terms.|A tokenizer mismatched to the domain wastes context and fragments meaningful units.|Calculate token-count and vocabulary tradeoffs for character and word tokenization.|Character tokenization has a tiny vocabulary and long sequences. Word tokenization reverses that and struggles with unknowns.|Why are tokens not words?;What does vocabulary size affect?;Why must tokenizer and model match?|Every LLM request is billed, truncated, embedded, and generated in tokens.
12|Embeddings and Semantic Similarity|Embeddings turn discrete objects into learned geometry suitable for comparison and retrieval.|dense vector representations;dot product, cosine, and Euclidean distance;normalization and dimensionality;bi-encoders and embedding models|Scale vectors and compare dot product, Euclidean distance, and cosine similarity.|A convenient similarity score does not guarantee semantic quality or domain relevance.|Build a tiny term-vector retriever and document what it cannot capture compared with learned embeddings.|It captures lexical overlap but not synonymy, context, negation, or domain semantics.|What does embedding dimension mean?;Why normalize vectors?;Why evaluate retrieval on domain examples?|Vector search, clustering, recommendation, and RAG all consume embeddings.
